"game_number","alt_purple","stable_orange","stable_purple","other"
"01KFEHAM45R1366856G6A2WGHZ",0,0,0,1
"01KFEJ5D5EZSQZ1FHTABW8Z6HQ",0,0,0.25,0.75
"01KFEKHZKRT77TCYW9QR636P3H",0,0,0.75,0.25
"01KFEKHZBEEPDRHKRQPWCS3SGH",0,0,0,1
"01KFEHA25NESP3C46R1STZWY67",0,1,0,0
"01KFEHAMATV7GY0NQF17M2P0MD",0,0,0,1
"01KFEKHZ9SCZ02EGGWRNFEECG2",0,0,1,0
"01KFEJ5CRSNMMQKHYMFD35850B",0,0,0,1
"01KFEHA1QYV2E8SAEFNEHYNVTN",0,0,0.5,0.5
"01KFEDCC2JDADMPT5RVP2N7S0X",0,0,0.75,0.25
"01KFEHA1GK3DQ7TRWFWA7J267H",0,0,0,1
"01KFEHA1GPSKM8FTTA039GX2FE",0,0,0.25,0.75
"01KFEJ5D6TNJMBKPJMAENEXHMP",0,0,0,1
"01KFEKPB2MD43HRXJ5S36AZP95",0,0,1,0
"01KFEKHWZEPZZY95F2XW7M1MFP",0,0,0,1
"01KFEDCB197E7YMN5STVXKHS22",0,0,0,1
"01KFEHA1GRK7A014NXTNRF457G",0,0,0,1
"01KFEKHW2KQMM6E7GG18D0G9TT",0,0,0,1
"01KFEJ5CQQ00MKPGMA298B0BDM",0,0,0.25,0.75
"01KFEKHYHJB14HYQ6WNW69M0EN",0,0,1,0
"01KFEKP8SWACZ78Z101DJZ9YZX",0,1,0,0
"01KFEDC9FF7T49EPA99GZDGH84",0,0,0,1
"01KFEDCCBDJ82W4YK2PN7VDTAX",0,0,0.5,0.5
"01KFEHA1ZNDEMMB0DK92YAW8BD",0,0,1,0
"01KFEHA1Z72TJ9J0QENR016CFN",0,0,0,1
"01KFEHA25S6PYJD4DSX1VJG5FE",0,1,0,0
"01KFEHAKMDAJRN7M0QA4VDJCGY",0,0,0.25,0.75
"01KFEDCCBE716PRHN8Q6NQV6ZT",0,0,0,1
"01KFEDCB85NRAF0XG25ABR62N5",0,0,0,1
"01KFEKHXK7R8H3J1J8XZRRFJYB",0,0,1,0
"01KFEKHZCYGXG9E88XG20MH24Y",0,0,0.75,0.25
"01KFEKHZN529E42QD9METE3SFK",0,0,0,1
"01KFEDCB15BD0TYD7H0V6YZGSZ",0,0,0,1
"01KFEDCCHH44R979H37GT2B68J",0,1,0,0
"01KFEKHX2RB171QB64SDRQQFHC",0,0,0,1
"01KFEKHXG0QSJ727TF9BK0CVWT",0,0,0,1
"01KFEKHZJWCME2TD44SWFYQ3JK",0,0,0,1
"01KFEHA1GDXTPSA0SX8CRPX47C",0,0,0,1
"01KFEHA1ZSVYK8DGYZZSV53FQM",0,0,0,1
"01KFEHAM3ZX2QFEZ4F28QFW79D",0,0,0,1
"01KFEJ5C9822567XDA8A9QG0G3",0,0,0.25,0.75
"01KFEJ5DPFFD934S0E2GQ1B9RR",0,0,1,0
"01KFEJ5E9BF1S7ZWGC98397B4G",0,0,1,0
"01KFEHA1R32D8V3SKQA6BEDXA8",0.25,0,0,0.75
"01KFEHAM4AZFDTAG8DR1VA4141",0,0,0,1
"01KFEJ5DPRA3SJMDJ397B8T8C1",0,0,0.25,0.75
"01KFEKHX0GFP3226G2XP5V5QA7",0,0,0,1
"01KFEKHX1P9ZX6RDK1X5H16NSJ",0,0,1,0
"01KFEDCAVZJC7DD4AH1RF6NR9W",0,0,0,1
"01KFEKPARRGKN060WSHP4MXPVN",0,0,0,1
"01KFEDCC2JDADMPT5RVZQ93BA8",0,0,1,0
"01KFEDCCHJADFRJT5F5VJ9ST9F",0,0,1,0
"01KFEHA1QMX5DYGHPSSSP2RXXX",0,1,0,0
"01KFEDCAVZJC7DD4AH1B24TEC6",0,0.5,0,0.5
